processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
KBBI006-07	KRIBB 163	594902		CGRB 163	Korea Research Institute of Bioscience and Biotechnology		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758													M						province submitted as:  Jeollanam-do	34.56	127.41							South Korea	South Jeolla												
KBBI019-07	KRIBB 277	594915		CGRB 277	Korea Research Institute of Bioscience and Biotechnology		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758													U						province submitted as:  Jeju-do	33.19	126.1							South Korea	Jeju												
KBBI077-07	KRIBB 1010	594973		CGRB 1010	Korea Research Institute of Bioscience and Biotechnology		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758													F						province submitted as:  Gyeonggi-do	37.27	127.42							South Korea	Gyeonggi												
KBBI197-07	KRIBB 2349	595093		CGRB 2349	Korea Research Institute of Bioscience and Biotechnology		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758													U						province submitted as:  Jeju-do	33.26	126.55							South Korea	Jeju												
KBBI211-07	KRIBB 2566	595107		CGRB 2566	Korea Research Institute of Bioscience and Biotechnology		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758													U						province submitted as:  Jeollanam-do	35.27	127.27							South Korea	South Jeolla												
KBNA475-04	ARBNC021	9435		ARBNC021	Centre for Biodiversity Genomics			18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788												A	U						From wing, muscle was slightly decomposed	43.33	-80.15							Canada	Ontario												
KKBNA066-04	CWSK01-04999-06-02	37982		K01-04999-06-02	Canadian Wildlife Service		BOLD:AAC5854	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788					Kardosi															49.05	-123.05							Canada	British Columbia	Ladner											
KKBNA069-04	CWSL94-64619-00	37985		L94-64619-00	Canadian Wildlife Service		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758					Elliot															49.05	-123.05							Canada	British Columbia	Ladner											
KKBNA074-04	CWSL96-72844-03-00	37990		L96-72844-03-00	Canadian Wildlife Service		BOLD:AAC5854	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788					Scheuhammer															44	-77.08							Canada	Ontario	Picton											
KPARG229-08	MACN-Or-ct 3339	884361	MACN-Or 71019		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAC5855	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788													M					Magellanic Horned Owl		-47.18	-67.13							Argentina	Santa Cruz			74 Km Suroeste Jaramillo									
